indicator,date,rate
low,2023-06-08 19:17:00,386.3
close,2023-06-08 19:17:00,386.4
open,2023-06-08 19:14:00,386.25
high,2023-06-08 19:14:00,386.25
low,2023-06-08 19:14:00,386.25
close,2023-06-08 19:14:00,386.25
open,2023-06-08 19:13:00,386.3
high,2023-06-08 19:13:00,386.3
low,2023-06-08 19:13:00,386.3
close,2023-06-08 19:13:00,386.3
open,2023-06-08 19:11:00,386.23
high,2023-06-08 19:11:00,386.25
low,2023-06-08 19:11:00,386.1
close,2023-06-08 19:11:00,386.1
open,2023-06-08 19:10:00,386.2
high,2023-06-08 19:10:00,386.2
low,2023-06-08 19:10:00,386.2
close,2023-06-08 19:10:00,386.2
open,2023-06-08 19:09:00,386.1
high,2023-06-08 19:09:00,386.25
low,2023-06-08 19:09:00,386.1
close,2023-06-08 19:09:00,386.25
open,2023-06-08 19:08:00,386.11
high,2023-06-08 19:08:00,386.11
low,2023-06-08 19:08:00,386.11
close,2023-06-08 19:08:00,386.11
open,2023-06-08 19:06:00,386.13
high,2023-06-08 19:06:00,386.13
low,2023-06-08 19:06:00,386.0
close,2023-06-08 19:06:00,386.0
open,2023-06-08 19:05:00,386.02
high,2023-06-08 19:05:00,386.02
low,2023-06-08 19:05:00,386.0
close,2023-06-08 19:05:00,386.0
open,2023-06-08 19:04:00,386.0
high,2023-06-08 19:04:00,386.0
low,2023-06-08 19:04:00,386.0
close,2023-06-08 19:04:00,386.0
open,2023-06-08 19:03:00,386.2
high,2023-06-08 19:03:00,386.3
low,2023-06-08 19:03:00,386.0
close,2023-06-08 19:03:00,386.0
open,2023-06-08 19:02:00,386.39
high,2023-06-08 19:02:00,386.39
low,2023-06-08 19:02:00,386.3
close,2023-06-08 19:02:00,386.3
open,2023-06-08 19:01:00,386.39
high,2023-06-08 19:01:00,386.39
low,2023-06-08 19:01:00,386.39
close,2023-06-08 19:01:00,386.39
open,2023-06-08 19:00:00,386.5
high,2023-06-08 19:00:00,386.5
low,2023-06-08 19:00:00,386.48
close,2023-06-08 19:00:00,386.48
open,2023-06-08 18:59:00,386.53
high,2023-06-08 18:59:00,386.78
low,2023-06-08 18:59:00,386.53
close,2023-06-08 18:59:00,386.7648
open,2023-06-08 18:57:00,386.7429
high,2023-06-08 18:57:00,386.7429
low,2023-06-08 18:57:00,386.7429
close,2023-06-08 18:57:00,386.7429
open,2023-06-08 18:56:00,386.65
high,2023-06-08 18:56:00,386.65
low,2023-06-08 18:56:00,386.65
close,2023-06-08 18:56:00,386.65
open,2023-06-08 18:55:00,386.7
high,2023-06-08 18:55:00,386.7864
low,2023-06-08 18:55:00,386.66
close,2023-06-08 18:55:00,386.7864
open,2023-06-08 18:54:00,386.55
high,2023-06-08 18:54:00,386.7
low,2023-06-08 18:54:00,386.55
close,2023-06-08 18:54:00,386.65
open,2023-06-08 18:53:00,386.6594
high,2023-06-08 18:53:00,386.6594
low,2023-06-08 18:53:00,386.6594
close,2023-06-08 18:53:00,386.6594
open,2023-06-08 18:52:00,386.6
high,2023-06-08 18:52:00,386.66
low,2023-06-08 18:52:00,386.56
close,2023-06-08 18:52:00,386.66
open,2023-06-08 18:51:00,386.5
high,2023-06-08 18:51:00,386.5
low,2023-06-08 18:51:00,386.5
close,2023-06-08 18:51:00,386.5
open,2023-06-08 18:50:00,386.5
high,2023-06-08 18:50:00,386.5
low,2023-06-08 18:50:00,386.4987
close,2023-06-08 18:50:00,386.5
open,2023-06-08 18:49:00,386.4938
high,2023-06-08 18:49:00,386.5
low,2023-06-08 18:49:00,386.4938
close,2023-06-08 18:49:00,386.5
open,2023-06-08 18:48:00,386.4
high,2023-06-08 18:48:00,386.4
low,2023-06-08 18:48:00,386.4
close,2023-06-08 18:48:00,386.4
open,2023-06-08 18:47:00,386.4
high,2023-06-08 18:47:00,386.4
low,2023-06-08 18:47:00,386.37
close,2023-06-08 18:47:00,386.4
open,2023-06-08 18:45:00,386.37
high,2023-06-08 18:45:00,386.4
low,2023-06-08 18:45:00,386.36
close,2023-06-08 18:45:00,386.36
open,2023-06-08 18:44:00,386.48
high,2023-06-08 18:44:00,386.48
low,2023-06-08 18:44:00,386.2
close,2023-06-08 18:44:00,386.2
open,2023-06-08 18:43:00,386.4
high,2023-06-08 18:43:00,386.45
low,2023-06-08 18:43:00,386.4
close,2023-06-08 18:43:00,386.4
open,2023-06-08 18:42:00,386.4
high,2023-06-08 18:42:00,386.4
low,2023-06-08 18:42:00,386.4
close,2023-06-08 18:42:00,386.4
open,2023-06-08 18:40:00,386.21
high,2023-06-08 18:40:00,386.25
low,2023-06-08 18:40:00,386.21
close,2023-06-08 18:40:00,386.25
open,2023-06-08 18:39:00,386.2
high,2023-06-08 18:39:00,386.25
low,2023-06-08 18:39:00,386.2
close,2023-06-08 18:39:00,386.25
open,2023-06-08 18:38:00,386.2478
high,2023-06-08 18:38:00,386.2478
low,2023-06-08 18:38:00,386.2
close,2023-06-08 18:38:00,386.2
open,2023-06-08 18:37:00,386.2
high,2023-06-08 18:37:00,386.2
low,2023-06-08 18:37:00,386.2
close,2023-06-08 18:37:00,386.2
open,2023-06-08 18:36:00,386.2473
high,2023-06-08 18:36:00,386.2473
low,2023-06-08 18:36:00,386.2473
close,2023-06-08 18:36:00,386.2473
open,2023-06-08 18:35:00,386.25
high,2023-06-08 18:35:00,386.25
low,2023-06-08 18:35:00,386.17
close,2023-06-08 18:35:00,386.17
open,2023-06-08 18:33:00,386.24
high,2023-06-08 18:33:00,386.24
low,2023-06-08 18:33:00,386.12
close,2023-06-08 18:33:00,386.12
open,2023-06-08 18:32:00,386.1
high,2023-06-08 18:32:00,386.1
low,2023-06-08 18:32:00,386.1
close,2023-06-08 18:32:00,386.1
open,2023-06-08 18:29:00,386.2
high,2023-06-08 18:29:00,386.2
low,2023-06-08 18:29:00,386.11
close,2023-06-08 18:29:00,386.11
open,2023-06-08 18:28:00,386.11
high,2023-06-08 18:28:00,386.11
low,2023-06-08 18:28:00,386.11
close,2023-06-08 18:28:00,386.11
open,2023-06-08 18:27:00,386.28
high,2023-06-08 18:27:00,386.3
low,2023-06-08 18:27:00,386.2504
close,2023-06-08 18:27:00,386.2504
open,2023-06-08 18:25:00,386.2501
high,2023-06-08 18:25:00,386.2501
low,2023-06-08 18:25:00,386.2501
close,2023-06-08 18:25:00,386.2501
open,2023-06-08 18:24:00,386.3122
high,2023-06-08 18:24:00,386.3122
low,2023-06-08 18:24:00,386.25
close,2023-06-08 18:24:00,386.25
open,2023-06-08 18:22:00,386.3
high,2023-06-08 18:22:00,386.3
low,2023-06-08 18:22:00,386.27
close,2023-06-08 18:22:00,386.27
open,2023-06-08 18:21:00,386.2501
high,2023-06-08 18:21:00,386.3
low,2023-06-08 18:21:00,386.2501
close,2023-06-08 18:21:00,386.3
open,2023-06-08 18:20:00,386.25
high,2023-06-08 18:20:00,386.25
low,2023-06-08 18:20:00,386.25
close,2023-06-08 18:20:00,386.25
open,2023-06-08 18:19:00,386.3905
high,2023-06-08 18:19:00,386.3905
low,2023-06-08 18:19:00,386.3905
close,2023-06-08 18:19:00,386.3905
open,2023-06-08 18:18:00,386.3
high,2023-06-08 18:18:00,386.34
low,2023-06-08 18:18:00,386.25
